site,title,url,price
superjob,Программист 1С УПП,https://kazan.superjob.ru//vakansii/programmist-1s-upp-38618307.html,По договорённости
superjob,Разработчик php,https://kazan.superjob.ru//vakansii/razrabotchik-php-32104951.html,По договорённости
superjob,Инженер-программист АСУТП,https://kazan.superjob.ru//vakansii/inzhener-programmist-asutp-37885719.html,По договорённости
superjob,Backend / Full Stack разработчик (Senior),https://kazan.superjob.ru//vakansii/backend-38610944.html,до 250 000 руб.
superjob,Разработчик PHP,https://kazan.superjob.ru//vakansii/razrabotchik-php-37857178.html,от 100 000 руб.
superjob,Асессор-разработчик,https://kazan.superjob.ru//vakansii/asessor-razrabotchik-37919021.html,По договорённости
superjob,Программист 1С,https://kazan.superjob.ru//vakansii/programmist-1s-38906330.html,от 100 000 руб.
superjob,Программист,https://kazan.superjob.ru//vakansii/programmist-38904557.html,По договорённости
superjob,PHP-программист (уровня не ниже Middle),https://kazan.superjob.ru//vakansii/php-programmist-38578933.html,от 150 000 руб.
superjob,Инженер АСУ ТП / Инженер-программист АСУ ТП,https://kazan.superjob.ru//vakansii/inzhener-asu-tp-38465466.html,от 80 000 руб.
superjob,Web-программист,https://kazan.superjob.ru//vakansii/web-programmist-38465088.html,от 70 000 руб.
superjob,Frontend-разработчик,https://kazan.superjob.ru//vakansii/frontend-razrabotchik-38595027.html,до 180 000 руб.
superjob,Middle frontend developer (jQuery),https://kazan.superjob.ru//vakansii/middle-frontend-developer-38580941.html,120 000 — 140 000 руб.
superjob,Ведущий разработчик 1С,https://kazan.superjob.ru//vakansii/veduschij-razrabotchik-1s-38890431.html,По договорённости
superjob,Разработчик 1С,https://kazan.superjob.ru//vakansii/razrabotchik-1s-38673022.html,120 000 — 150 000 руб.
superjob,Программист-разработчик Delphi,https://kazan.superjob.ru//vakansii/programmist-razrabotchik-delphi-33585456.html,По договорённости
superjob,Программист-разработчик 1C,https://kazan.superjob.ru//vakansii/programmist-razrabotchik-1c-38759294.html,По договорённости
superjob,Разработчик PHP,https://kazan.superjob.ru//vakansii/razrabotchik-php-38509746.html,от 70 000 руб.
superjob,Ведущий инженер-программист 1С,https://kazan.superjob.ru//vakansii/veduschij-inzhener-programmist-1s-38465448.html,По договорённости
superjob,Программист-разработчик для HCL (IBM) Notes,https://kazan.superjob.ru//vakansii/programmist-razrabotchik-dlya-hcl-33437954.html,По договорённости
superjob,Разработчик Ruby on Rails,https://kazan.superjob.ru//vakansii/razrabotchik-ruby-on-rails-38759086.html,По договорённости
superjob,Оператор колл-центра (домашний офис),https://kazan.superjob.ru//vakansii/operator-koll-centra-37663985.html,25 000 — 27 000 руб.
superjob,Оператор call-центра,https://kazan.superjob.ru//vakansii/operator-call-centra-38925059.html,24 000 — 26 000 руб.
superjob,SMM-manager / СММ-менеджер,https://kazan.superjob.ru//vakansii/smm-manager-38896752.html,от 120 000 руб.
superjob,Системный администратор ЛИМС,https://kazan.superjob.ru//vakansii/sistemnyj-administrator-lims-38553775.html,По договорённости
superjob,Системный аналитик (цифровая трансформация банка),https://kazan.superjob.ru//vakansii/sistemnyj-analitik-38659459.html,По договорённости
superjob,Воспитатель (билингвал),https://kazan.superjob.ru//vakansii/vospitatel-38645688.html,от 20 000 руб.
superjob,Специалист службы поддержки (с техническими знаниями),https://kazan.superjob.ru//vakansii/specialist-sluzhby-podderzhki-37984530.html,от 15 000 руб.
superjob,"Оператор горячей линии (удаленно, домашний офис)",https://kazan.superjob.ru//vakansii/operator-goryachej-linii-37662620.html,25 000 — 29 000 руб.
superjob,"Консультант чат-поддержки Медиасервисов (КиноПоиск, Афиша, Музыка, Плюс)",https://kazan.superjob.ru//vakansii/konsultant-chat-podderzhki-mediaservisov-38845767.html,от 20 000 руб.
superjob,Специалист по внедрению ServiceDesk (технолог),https://kazan.superjob.ru//vakansii/specialist-po-vnedreniyu-servicedesk-38412982.html,от 70 000 руб.
superjob,Специалист горячей линии (удалённо),https://kazan.superjob.ru//vakansii/specialist-goryachej-linii-36641735.html,25 000 — 29 000 руб.
superjob,Менеджер по работе с клиентами (удаленно),https://kazan.superjob.ru//vakansii/menedzher-po-rabote-s-klientami-38918331.html,24 000 — 26 000 руб.
superjob,Менеджер по продажам (по теплой базе),https://kazan.superjob.ru//vakansii/menedzher-po-prodazham-38902762.html,25 000 — 27 000 руб.
superjob,Специалист по обзвону теплой базы,https://kazan.superjob.ru//vakansii/specialist-po-obzvonu-teploj-bazy-38901639.html,23 000 — 25 000 руб.
superjob,Консультант 1С,https://kazan.superjob.ru//vakansii/konsultant-1s-38759325.html,По договорённости
